"Rank","Player","Team","Positions","Yahoo","CBS","RTS","NFBC","FT","AVG"
"398","Ryne Nelson","ARI","SP,RP","","","323","398","296","339.0"
"399","Aaron Civale","ATH","SP,RP","","","370","374","286","343.3"
"400","Bobby Miller","LAD","SP","","","330","412","311","351.0"
"401","Reid Detmers","LAA","SP,RP","","","354","378","339","357.0"
"402","Jeff McNeil","ATH","2B,LF,CF,RF","309","","","413","358","360.0"
"403","Noelvi Marte","CIN","3B,RF","","","378","388","318","361.3"
"404","Jose Miranda","SD","1B,3B","","355","","356","376","362.3"
"405","Rhett Lowder","CIN","SP","298","","478","941","322","509.8"
"406","Gavin Lux","TB","2B,3B,LF,DH","","","455","337","310","367.3"
"407","Luis Campusano","SD","C,DH","","","253","400","450","367.7"
"408","Matt Vierling","DET","LF,CF","","","466","340","299","368.3"
"409","Zack Littell","WSH","SP","","","392","391","330","371.0"
"410","Danny Jansen","TEX","C","","","396","309","415","373.3"
"411","Travis d'Arnaud","LAA","C","","","301","392","435","376.0"
"412","Jhonkensy Noel","BAL","1B,RF","","","357","380","399","378.7"
"413","Isiah Kiner-Falefa","BOS","2B,3B,SS","386","","","353","398","379.0"
"414","Spencer Horwitz","PIT","1B","","","472","348","323","381.0"
"415","Clayton Kershaw","","SP","333","","325","1156","485","574.8"
"416","Freddy Fermin","SD","C","","","336","373","439","382.7"
"417","Kyle Higashioka","TEX","C,DH","","329","","372","465","388.7"
"418","Luis L. Ortiz","CLE","SP","327","","460","384","","390.3"
"419","Frankie Montas","","SP","","","443","410","319","390.7"
"420","Edward Cabrera","CHC","SP","","","448","411","336","398.3"
"421","Tylor Megill","NYM","SP","","","380","396","426","400.7"
"422","Dalton Rushing","LAD","C","","","385","417","400","400.7"
"423","MJ Melendez","NYM","LF,DH","","","373","399","440","404.0"
"424","Zebby Matthews","MIN","SP","353","","","423","437","404.3"
"425","Chase DeLauter","CLE","CF,RF,DH","","","335","454","425","404.7"
"426","Matt Strahm","KC","RP","315","","461","1075","441","573.0"
"427","Miguel Amaya","CHC","C,DH","","","430","347","448","408.3"
"428","Eury Perez","MIA","SP","420","","377","896","428","530.3"
"429","Brooks Lee","MIN","2B,3B,SS","410","","","407","420","412.3"
"430","Mike Yastrzemski","ATL","LF,CF,RF","","332","","444","467","414.3"
"431","Quinn Mathews","STL","SP","","","360","418","466","414.7"
"432","AJ Smith-Shawver","ATL","SP","352","","","442","451","415.0"
"433","Jorge Lopez","","RP","302","","302","882","647","533.3"
"434","Max Kepler","","LF,RF","","","441","358","452","417.0"
"435","Tony Gonsolin","","SP","","","416","432","408","418.7"
"436","Chas McCormick","CHC","LF,CF,RF","","","355","430","476","420.3"
"437","Jorge Polanco","NYM","2B,3B,DH","","","464","419","378","420.3"
"438","Chandler Simpson","TB","LF,CF","303","","358","829","651","535.3"
"439","Jesse Winker","","LF,RF,DH","","","471","402","402","425.0"
"440","Amed Rosario","NYY","2B,3B","268","","435","1241","589","633.3"
"441","Jose Alvarado","PHI","RP","306","","361","1200","630","624.3"
"442","Mitch Garver","SEA","C,DH","","","414","426","459","433.0"
"443","J.P. Crawford","SEA","SS","","","458","425","416","433.0"
"444","Jordan Beck","COL","LF,RF","","","391","435","512","446.0"
"445","Tommy Pham","BAL","LF,CF,RF","","364","473","878","534","562.3"
"446","Beau Brieske","DET","RP","313","","","465","606","461.3"
"447","Paul DeJong","DET","2B,3B,SS","","","427","456","522","468.3"
"448","Jesus Tinoco","MIA","RP","396","","","462","559","472.3"
"449","Yimi Garcia","TOR","RP","336","","465","1070","619","622.5"
"450","Joel Payamps","ATL","RP","419","","438","1093","583","633.3"
"451","Robert Garcia","TEX","RP","369","","451","1036","645","625.3"
"452","Richard Fitts","STL","SP","414","","372","993","680","614.8"
"453","Michael McGreevy","STL","SP","","","428","665","474","522.3"
"454","Luke Jackson","","RP","246","","","455","","350.5"
"455","Ryan O'Hearn","PIT","1B,LF,RF,DH","","","","343","369","356.0"
"456","Andy Pages","LAD","LF,CF,RF","","","","363","365","364.0"
"457","Nick Gonzales","PIT","2B,3B,SS","","","","403","343","373.0"
"458","Andrew Abbott","CIN","SP","","","401","972","345","572.7"
"459","Jake Irvin","WSH","SP","","","","427","320","373.5"
"460","Michael Massey","KC","2B,LF","","","","375","373","374.0"
"461","Henry Davis","PIT","C","","","258","1089","503","616.7"
"462","Andrew Benintendi","CWS","LF,DH","","","","387","375","381.0"
"463","Jonny DeLuca","TB","LF,CF,RF","","","","354","412","383.0"
"464","Mauricio Dubon","ATL","2B,3B,SS,LF,CF","281","","","786","579","548.7"
"465","Sean Burke","CWS","SP,RP","","","","395","384","389.5"
"466","Ernie Clement","TOR","1B,2B,3B,SS","","","","376","418","397.0"
"467","Pavin Smith","ARI","1B,DH","","","","379","431","405.0"
"468","JP Sears","SD","SP","","","","452","359","405.5"
"469","Ben Brown","CHC","SP,RP","","","","422","411","416.5"
"470","Andre Pallante","STL","SP","","","445","1064","393","634.0"
"471","Edouard Julien","COL","1B,2B,DH","","","386","1228","453","689.0"
"472","Tyler Mahle","SF","SP","","","","433","406","419.5"
"473","Jarred Kelenic","CWS","CF,RF","","","384","968","457","603.0"
"474","Alex Vesia","LAD","RP","287","","","1082","555","641.3"
"475","Esteury Ruiz","MIA","LF,CF,RF","","","337","1143","509","663.0"
"476","Triston McKenzie","SD","SP,RP","","","334","1194","513","680.3"
"477","Endy Rodriguez","PIT","C,1B","","","","416","434","425.0"
"478","James Outman","MIN","LF,CF,RF","","","254","1206","598","686.0"
"479","Paul Sewald","ARI","RP","","","288","1135","565","662.7"
"480","Jose Quintana","COL","SP","","","432","1007","422","620.3"
"481","Andrew Heaney","","SP","","","","460","397","428.5"
"482","David Fry","CLE","C,RF,DH","416","","","909","443","589.3"
"483","Jordan Hicks","CWS","SP,RP","","","442","851","449","580.7"
"484","Marcus Stroman","","SP","","","400","1183","472","685.0"
"485","Leody Taveras","BAL","CF,RF","","","","443","432","437.5"
"486","Justin Turner","","1B,3B","","","375","1146","502","674.3"
"487","Orlando Arcia","MIN","1B,2B,3B,SS","","","","436","446","441.0"
"488","Jonah Bride","TEX","1B,3B","","","","445","438","441.5"
"489","J.D. Martinez","","DH","","","423","1288","461","724.0"
"490","Miguel Vargas","CWS","1B,3B","","","","409","480","444.5"
"491","Yoan Moncada","LAA","3B","","349","","1086","544","659.7"
"492","Enrique Hernandez","LAD","1B,2B,3B,LF","256","","","1190","638","694.7"
"493","Geraldo Perdomo","ARI","SS","","","","434","469","451.5"
"494","Adbert Alzolay","NYM","RP","","","324","582","","453.0"
"495","Eloy Jimenez","","RF,DH","","","405","1289","501","731.7"
"496","Cade Povich","BAL","SP","","","","451","456","453.5"
"497","Brett Baty","NYM","1B,2B,3B,RF","363","","","955","549","622.3"
"498","Griffin Canning","SD","SP","","","419","1002","496","639.0"
"499","Jose Tena","WSH","2B,3B,DH","","","","461","455","458.0"
"500","Will Benson","CIN","LF,CF,RF","","","374","1216","543","711.0"
"501","LaMonte Wade Jr.","CWS","1B,RF","","","","450","468","459.0"
"502","Brayan Rocchio","CLE","2B,SS","","","","446","473","459.5"
"503","Osvaldo Bido","CWS","SP,RP","","","","457","463","460.0"
"504","Elias Diaz","KC","C","","","289","1074","632","665.0"
"505","Jake Rogers","DET","C","","","436","940","490","622.0"
"506","Samuel Basallo","BAL","C,DH","","","367","1278","573","739.3"
"507","Yennier Cano","BAL","RP","347","","","1274","595","738.7"
"508","Craig Kimbrel","NYM","RP","","","279","1210","665","718.0"
"509","Brandon Drury","KC","1B,2B,3B","","","338","1202","611","717.0"
"510","Hayden Wesneski","HOU","SP","","","","424","527","475.5"
"511","Kris Bryant","COL","DH","","","452","1166","510","709.3"
"512","Oswaldo Cabrera","NYY","3B","","","406","1259","557","740.7"
"513","Landen Roupp","SF","SP","417","","","915","550","627.3"
"514","Agustin Ramirez","MIA","C,DH","","","","449","521","485.0"
"515","Ty France","SD","1B","","","439","952","548","646.3"
"516","David Robertson","","RP","","","404","969","591","654.7"
"517","Kevin Ginkel","ARI","RP","390","","","1301","623","771.3"
"518","Hunter Gaddis","CLE","RP","","","446","1255","584","761.7"
"519","Garrett Whitlock","BOS","RP","","","468","1258","572","766.0"
"520","Jose Leclerc","SD","RP","","","333","1300","711","781.3"
"521","Jacob Stallings","","C","","","","466","580","523.0"
"522","Cristian Javier","HOU","SP","","","282","1101","776","719.7"
"523","Jake Meyers","HOU","CF","","","","580","479","529.5"
"524","Carson Williams","TB","SS","","","476","1245","597","772.7"
"525","Kenta Maeda","","SP,RP","","","315","1134","764","737.7"
"526","Tyler Kinley","ATL","RP","381","","","1091","705","725.7"
"527","Gavin Stone","LAD","SP","","","","491","614","552.5"
"528","Lenyn Sosa","TOR","1B,2B,DH","","","","599","511","555.0"
"529","Andrew Kittredge","BAL","RP","","","434","1133","678","748.3"
"530","Jerar Encarnacion","SF","RF","","","450","981","662","697.7"
"531","Mason Montgomery","PIT","SP,RP","","","477","1257","653","795.7"
"532","Taylor Rogers","MIN","RP","407","","","1006","732","715.0"
"533","Graham Ashcraft","CIN","RP","365","","","1012","815","730.7"
"534","Jac Caglianone","KC","1B,RF","","","339","1076","852","755.7"
"535","A.J. Minter","NYM","RP","","","479","1293","721","831.0"
"536","JoJo Romero","STL","RP","","","470","1010","739","739.7"
"537","Scott Barlow","ATH","RP","361","","","936","","648.5"
"538","Luis Garcia","NYY","SP","","","","925","382","653.5"
"539","Tyler Anderson","","SP","","","","950","385","667.5"
"540","Brendan Rodgers","BOS","2B","","","","1130","386","758.0"
"541","Mitchell Parker","WSH","SP,RP","","","","1019","396","707.5"
"542","Jon Gray","","RP","","","","1038","414","726.0"
"543","Ben Lively","CLE","SP","","","","1080","423","751.5"
"544","Vaughn Grissom","LAA","1B,2B,3B","","","","1094","429","761.5"
"545","Alex Verdugo","","LF,RF","","","","1073","433","753.0"
"546","Joey Cantillo","CLE","SP,RP","","","","905","436","670.5"
"547","Miles Mikolas","WSH","SP","","","","1249","445","847.0"
"548","Nick Yorke","PIT","2B,3B","","","","1059","447","753.0"
"549","Alec Marsh","KC","SP","","","","1171","460","815.5"
"550","Alex Cobb","","SP","","","","1108","462","785.0"
"551","Richie Palacios","TB","2B,LF","","","","1066","464","765.0"
"552","Javier Assad","CHC","SP,RP","","","","1302","470","886.0"
"553","Trey Sweeney","DET","SS","","","","1034","471","752.5"
"554","Austin Meadows","","LF","","","","473","934","703.5"
"555","Kyle Gibson","","SP","","","","1304","477","890.5"
"556","John Schreiber","KC","RP","","","","480","881","680.5"
"557","Jace Jung","DET","3B","","","","1017","481","749.0"
"558","Lance Lynn","","SP","","","","1295","482","888.5"
"559","Jesus Made","MIL","2B,3B,SS","","","","484","972","728.0"
"560","Seth Brown","NYY","1B,LF,CF,RF","","","","873","487","680.0"
"561","Adrian Del Castillo","ARI","C,DH","","","","886","486","686.0"
"562","Yariel Rodriguez","TOR","RP","","","","1124","488","806.0"
"563","Andrew McCutchen","TEX","RF,DH","","","","1248","489","868.5"
"564","Landon Knack","LAD","SP","","","","1031","491","761.0"
"565","Keegan Thompson","COL","RP","","","","536","831","683.5"
"566","Colby Thomas","ATH","LF,CF,RF","","","","1063","493","778.0"
"567","Juan Yepez","","1B","","","","1192","494","843.0"
"568","Simeon Woods Richardson","MIN","SP","","","","1050","495","772.5"
"569","Harrison Bader","SF","LF,CF,RF","","","","1039","497","768.0"
"570","Jordyn Adams","MIL","CF,RF","","","","497","998","747.5"
"571","Ryan Feltner","COL","SP","","","","1285","498","891.5"
"572","Kyle Stowers","MIA","LF,CF,RF","","","","1129","499","814.0"
"573","Austin Gomber","ATL","SP","","","","919","500","709.5"
"574","Jurrangelo Cijntje","STL","SP","","","","502","989","745.5"
"575","Christian Moore","LAA","2B","","","","1025","504","764.5"
"576","Michael Lorenzen","COL","SP,RP","","","","1211","505","858.0"
"577","Christian Scott","NYM","SP","","","","505","996","750.5"
"578","Noah Schultz","CWS","SP","","","","1139","506","822.5"
"579","Will Wagner","SD","1B,3B","","","","1090","507","798.5"
"580","Aaron Ashby","MIL","RP","","","","1048","508","778.0"
"581","Wenceel Perez","DET","CF,RF","","","","1110","514","812.0"
"582","Jacob Misiorowski","MIL","SP","","","","1219","515","867.0"
"583","Ronny Mauricio","NYM","2B,3B,SS","","","","1115","516","815.5"
"584","Matt Waldron","SD","SP","","","","1271","517","894.0"
"585","Kyle Teel","CWS","C","","","","1163","519","841.0"
"586","Mike Tauchman","NYM","LF,CF,RF","","","","998","523","760.5"
"587","Shinnosuke Ogasawara","WSH","SP,RP","","","","1106","524","815.0"
"588","Josh Rojas","KC","2B,3B","","","","1173","525","849.0"
"589","Trevor Williams","WSH","SP","","","","1081","526","803.5"
"590","Joey Loperfido","HOU","LF,CF,RF","","","","1182","528","855.0"
"591","Jared Triolo","PIT","1B,2B,3B,SS","","","","1286","529","907.5"
"592","Hunter Renfroe","","RF","","","","1158","530","844.0"
"593","Edgar Quero","CWS","C,DH","","","","1040","532","786.0"
"594","Blake Perkins","MIL","LF,CF,RF","","","","1161","535","848.0"
"595","Colin Rea","CHC","SP,RP","","","","1284","537","910.5"
"596","Tyler Black","MIL","1B,DH","","","","1164","538","851.0"
"597","Jonathan Cannon","CWS","SP,RP","","","","1221","539","880.0"
"598","Alek Thomas","LAD","CF","","","","1136","541","838.5"
"599","DL Hall","MIL","SP,RP","","","","1151","542","846.5"
"600","Brandon Sproat","MIL","SP","","","","1170","545","857.5"
"601","Chris Paddack","CIN","SP,RP","","","","1140","546","843.0"
"602","Thomas Saggese","STL","2B,3B,SS,LF","","","","1262","547","904.5"
"603","Tyler Gilbert","CWS","SP,RP","","","","549","944","746.5"
"604","Mitch Spence","KC","SP,RP","","","","1279","551","915.0"
"605","Emmanuel Rodriguez","MIN","CF","","","","1205","552","878.5"
"606","Korey Lee","CWS","C","","","","1168","553","860.5"
"607","Mickey Moniak","COL","LF,CF,RF,DH","","","","1260","554","907.0"
"608","Nick Kurtz","ATH","1B","","","","1095","556","825.5"
"609","Kyle Isbel","KC","CF","","","","1138","558","848.0"
"610","Drew Thorpe","CWS","SP","","","","1118","560","839.0"
"611","Brant Hurter","DET","SP,RP","","","","1132","561","846.5"
"612","Orelvis Martinez","","2B,3B","","","","1252","562","907.0"
"613","Johan Rojas","PHI","CF","","","","1172","563","867.5"
"614","Adael Amador","COL","2B","","","","1214","564","889.0"
"615","Ryan Thompson","ARI","RP","","","","585","854","719.5"
"616","Anthony Rizzo","","1B","","","","1145","566","855.5"
"617","Trevor Rogers","BAL","SP","","","","1154","567","860.5"
"618","Kyle Freeland","COL","SP","","","","994","568","781.0"
"619","Lucas Braun","ATL","SP","","","","568","969","768.5"
"620","German Marquez","SD","SP","","","","1282","569","925.5"
"621","Jose Butto","SF","SP,RP","","","","1294","571","932.5"
"622","Cade Cavalli","WSH","SP","","","","1298","574","936.0"
"623","Victor Caratini","MIN","C,1B,DH","","","","1184","575","879.5"
"624","Cal Quantrill","TEX","SP,RP","","","","1098","576","837.0"
"625","Colson Montgomery","CWS","3B,SS","","","","1125","577","851.0"
"626","Owen Caissie","MIA","CF,RF","","","","1112","578","845.0"
"627","Gio Urshela","","3B","","","","1088","581","834.5"
"628","Bailey Falter","KC","SP","","","","1242","582","912.0"
"629","Caden Dana","LAA","SP","","","","1267","585","926.0"
"630","Zach Dezenzo","HOU","LF,RF","","","","1117","586","851.5"
"631","Marcelo Mayer","BOS","2B,3B","","","","1251","587","919.0"
"632","Chris Flexen","","RP","","","","695","767","731.0"
"633","Ramon Laureano","SD","LF,CF,RF","","","","1243","588","915.5"
"634","John Means","KC","SP","","","","588","977","782.5"
"635","Chase Dollander","COL","SP,RP","","","","1313","592","952.5"
"636","Ian Anderson","","SP,RP","","","","1291","593","942.0"
"637","Max Schuemann","NYY","2B,3B,SS,OF","","","","1239","594","916.5"
"638","Seranthony Dominguez","CWS","RP","","","","1244","596","920.0"
"639","Eli Morgan","KC","RP","","","","603","869","736.0"
"640","Lance McCullers Jr.","HOU","SP","","","","1309","599","954.0"
"641","Bryce Eldridge","SF","1B,DH","","","","1234","600","917.0"
"642","Martin Perez","ATL","SP","","","","1264","601","932.5"
"643","Gary Sanchez","MIL","C,1B,DH","","","","1148","602","875.0"
"644","Brady House","WSH","3B,DH","","","","1152","603","877.5"
"645","Juan Brito","CLE","1B,2B","","","","1207","604","905.5"
"646","Thomas Harrington","PIT","SP,RP","","","","1236","605","920.5"
"647","Michael Siani","BAL","CF","","","","1270","607","938.5"
"648","Kyle Wright","CHC","SP","","","","1220","608","914.0"
"649","Jonatan Clase","TOR","LF,CF","","","","1177","609","893.0"
"650","Addison Barger","TOR","3B,LF,RF","","","","1281","610","945.5"
"651","Billy Cook","PIT","LF,CF,RF","","","","1186","612","899.0"
"652","Bryan Ramos","BAL","3B","","","","1188","613","900.5"
"653","Jorge Mateo","ATL","2B,SS,CF","","","","1193","615","904.0"
"654","Pedro Pages","STL","C","","","","1235","616","925.5"
"655","Adrian Morejon","SD","RP","","","","1246","617","931.5"
"656","Joey Estes","ATH","SP","","","","1155","618","886.5"
"657","Spencer Turnbull","","SP,RP","","","","1208","620","914.0"
"658","Travis Bazzana","CLE","2B","","","","1275","621","948.0"
"659","Edmundo Sosa","PHI","2B,3B,SS","","","","1189","622","905.5"
"660","DJ LeMahieu","","1B,2B,3B","","","","1269","624","946.5"
"661","Shay Whitcomb","HOU","2B,3B","","","","1157","625","891.0"
"662","Curtis Mead","WSH","1B,2B,3B","","","","1096","626","861.0"
"663","Davis Schneider","TOR","2B,LF","","","","1292","627","959.5"
"664","Santiago Espinal","LAD","2B,3B,LF,RF","","","","1268","628","948.0"
"665","Tayler Scott","ATL","RP","","","","685","818","751.5"
"666","Kyle Bradish","BAL","SP","","","","1315","629","972.0"
"667","Carson Kelly","CHC","C","","","","1123","633","878.0"
"668","Kyle Farmer","ATL","1B,2B,3B,SS,DH","","","","1231","635","933.0"
"669","Sam Hilliard","","LF,CF,RF","","","","1209","636","922.5"
"670","Cole Sands","MIN","SP,RP","","","","1296","637","966.5"
"671","Keider Montero","DET","SP,RP","","","","1159","639","899.0"
"672","Cade Horton","CHC","SP","","","","1290","640","965.0"
"673","Jose Iglesias","","2B,3B,SS","","","","1203","641","922.0"
"674","Nate Pearson","HOU","RP","","","","1254","642","948.0"
"675","Max Clark","DET","CF","","","","687","830","758.5"
"676","Moises Ballesteros","CHC","C,DH","","","","1167","643","905.0"
"677","Drew Romo","CWS","C","","","","1199","644","921.5"
"678","Romy Gonzalez","BOS","1B,2B","","","","1261","646","953.5"
"679","Matt Brash","SEA","RP","","","","1305","648","976.5"
"680","Jakob Junis","TEX","RP","","","","1310","649","979.5"
"681","Davis Martin","CWS","SP","","","","1265","650","957.5"
"682","Hunter Harvey","CHC","RP","","","","1195","652","923.5"
"683","Zach Agnos","COL","RP","","","","652","992","822.0"
"684","Joe Boyle","TB","SP,RP","","","","1312","654","983.0"
"685","Joey Meneses","ATH","1B","","","","686","843","764.5"
"686","Dustin Harris","CWS","LF,RF","","","","830","699","764.5"
"687","Gavin Sheets","SD","1B,LF,RF,DH","","","","1099","655","877.0"
"688","Zach McKinstry","DET","2B,3B,SS,LF,RF","","","","1299","656","977.5"
"689","Prelander Berroa","CWS","RP","","","","1100","657","878.5"
"690","Randal Grichuk","CWS","LF,RF,DH","","","","1229","658","943.5"
"691","Jacob Melton","TB","LF,CF","","","","1218","659","938.5"
"692","Mark Canha","","LF,RF","","","","1307","660","983.5"
"693","Kyle Hendricks","","SP,RP","","","","1142","661","901.5"
"694","Mitch Haniger","","RF","","","","1240","663","951.5"
"695","Justyn-Henry Malloy","TB","LF,RF,DH","","","","1215","664","939.5"
"696","Joe Jimenez","ATL","RP","","","","808","731","769.5"
"697","Josh Sborz","TEX","RP","","","","749","790","769.5"
"698","Ezequiel Duran","TEX","1B,2B,3B,SS,LF,RF","","","","1191","666","928.5"
"699","Troy Taylor","SEA","RP","","","","708","833","770.5"
"700","Mark Leiter Jr.","ATH","RP","","","","796","745","770.5"
"701","Griffin Conine","MIA","LF,RF","","","","1272","667","969.5"
"702","Patrick Corbin","TOR","SP","","","","911","668","789.5"
"703","Marco Luciano","NYY","2B,SS","","","","1071","669","870.0"
"704","Miguel Rojas","LAD","2B,3B,SS","","","","1128","670","899.0"
"705","Paul Blackburn","NYY","SP,RP","","","","1303","671","987.0"
"706","Emerson Hancock","SEA","SP,RP","","","","1197","672","934.5"
"707","Matt Manning","","SP","","","","1023","673","848.0"
"708","Steven Matz","TB","SP,RP","","","","1297","674","985.5"
"709","Zac Veen","COL","LF,RF","","","","1137","675","906.0"
"710","Tyrone Taylor","NYM","LF,CF,RF","","","","1263","676","969.5"
"711","Abner Uribe","MIL","RP","","","","1308","677","992.5"
"712","Leo De Vries","ATH","SS","","","","678","947","812.5"
"713","Alex Call","LAD","LF,CF,RF","","","","1060","679","869.5"
"714","Tyler Rogers","TOR","RP","","","","906","681","793.5"
"715","Nick Fortes","TB","C","","","","1287","682","984.5"
"716","Tyler Locklear","ARI","1B","","","","1109","683","896.0"
"717","Jack Kochanowicz","LAA","SP","","","","1119","684","901.5"
"718","Dairon Blanco","TEX","LF,CF,RF","","","","1277","685","981.0"
"719","Anthony Rendon","LAA","3B","","","","999","687","843.0"
"720","Rece Hinds","CIN","RF","","","","1033","688","860.5"
"721","Tirso Ornelas","SD","LF","","","","1165","690","927.5"
"722","Ryan Bliss","SEA","2B","","","","1092","691","891.5"
"723","Rob Refsnyder","SEA","LF,CF,RF,DH","","","","1049","692","870.5"
"724","Christian Vazquez","HOU","C","","","","1311","693","1,002.0"
"725","Scott Kingery","CHC","2B","","","","1113","694","903.5"
"726","Adam Duvall","","LF,CF,RF","","","","694","915","804.5"
"727","Ramon Urias","STL","2B,3B","","","","1213","695","954.0"
"728","Derek Law","ARI","RP","","","","1114","696","905.0"
"729","Kevin Newman","KC","1B,2B,3B,SS","","","","1226","697","961.5"
"730","Jack Suwinski","LAD","LF,CF,RF","","","","1273","698","985.5"
"731","Chase Meidroth","CWS","2B,3B,SS","","","","1204","700","952.0"
"732","Garrett Cleavinger","TB","RP","","","","1026","701","863.5"
"733","Yilber Diaz","ARI","RP","","","","1144","702","923.0"
"734","Travis Sykora","WSH","SP","","","","702","963","832.5"
"735","Casey Schmitt","SF","1B,2B,3B,DH","","","","939","703","821.0"
"736","Kyle Hart","SD","SP,RP","","","","1111","704","907.5"
"737","Jhony Brito","SD","RP","","","","704","879","791.5"
"738","Tony Santillan","CIN","RP","","","","1178","706","942.0"
"739","Hurston Waldrep","ATL","SP","","","","1250","707","978.5"
"740","Hunter Bigge","TB","RP","","","","1314","708","1,011.0"
"741","Jose A. Ferrer","SEA","RP","","","","1233","709","971.0"
"742","Keegan Akin","BAL","SP,RP","","","","1237","710","973.5"
"743","Victor Vodnik","COL","RP","","","","1141","712","926.5"
"744","Will Brennan","SF","LF,CF,RF","","","","1276","713","994.5"
"745","Walker Jenkins","MIN","CF","","","","949","714","831.5"
"746","Whit Merrifield","","2B,3B,LF","","","","1029","715","872.0"
"747","Niko Kavadas","LAA","1B,LF,RF","","","","715","980","847.5"
"748","Jon Singleton","","1B,DH","","","","1022","716","869.0"
"749","Wilmer Flores","","1B,DH","","","","1212","717","964.5"
"750","JJ Wetherholt","STL","2B,3B,SS","","","","888","718","803.0"
"751","Trey Lipscomb","WSH","3B","","","","866","727","796.5"
"752","Jose Trevino","CIN","C","","","","1224","719","971.5"
"753","Chase Burns","CIN","SP,RP","","","","1247","720","983.5"
"754","Logan Henderson","MIL","SP","","","","1266","722","994.0"
"755","Dillon Dingler","DET","C,DH","","","","1232","723","977.5"
"756","Valente Bellozo","COL","SP,RP","","","","868","730","799.0"
"757","Tink Hence","STL","SP","","","","1230","724","977.0"
"758","Matt Mervis","","1B","","","","1153","725","939.0"
"759","Chase Silseth","LAA","RP","","","","1078","726","902.0"
"760","Connor Joe","SEA","LF,RF","","","","1180","728","954.0"
"761","Johnathan Rodriguez","BAL","RF","","","","1217","729","973.0"
"762","Abraham Toro","KC","1B,2B,3B","","","","730","919","824.5"
"763","Leo Jimenez","MIA","2B,3B","","","","766","839","802.5"
"764","Tristan Beck","SF","RP","","","","775","832","803.5"
"765","Donovan Solano","","1B","","","","1238","733","985.5"
"766","Gregory Santos","SF","RP","","","","1121","734","927.5"
"767","Brooks Baldwin","CWS","2B,3B,SS,LF,CF,RF","","","","1179","735","957.0"
"768","Alan Roden","MIN","LF,RF","","","","1062","736","899.0"
"769","Joe Musgrove","SD","SP","","","","736","970","853.0"
"770","Quinn Priester","MIL","SP,RP","","","","1149","737","943.0"
"771","Justin Anderson","","RP","","","","1122","738","930.0"
"772","Kevin Kelly","TB","RP","","","","819","794","806.5"
"773","Wander Franco","TB","SS","","","","739","935","837.0"
"774","Pierce Johnson","CIN","RP","","","","1253","740","996.5"
"775","Miguel Andujar","SD","3B,LF,DH","","","","1201","741","971.0"
"776","Bobby Dalbec","","1B,3B","","","","741","991","866.0"
"777","Dennis Santana","PIT","RP","","","","1256","742","999.0"
"778","Aaron Schunk","ATL","2B,3B,SS","","","","839","778","808.5"
"779","Reed Garrett","NYM","RP","","","","980","744","862.0"
"780","Dane Dunning","SEA","SP,RP","","","","958","746","852.0"
"781","Darell Hernaiz","ATH","2B,3B,SS","","","","932","747","839.5"
"782","Wade Meckler","LAA","CF","","","","747","908","827.5"
"783","Chris Taylor","LAA","2B,LF,CF,RF","","","","1084","748","916.0"
"784","Matthew Liberatore","STL","SP","","","","1196","749","972.5"
"785","Johan Oviedo","BOS","SP","","","","1013","750","881.5"
"786","Bryce Elder","ATL","SP","","","","903","751","827.0"
"787","Jake Bauers","MIL","1B,LF,RF","","","","1057","752","904.5"
"788","Austin Shenton","","1B","","","","752","917","834.5"
"789","Nacho Alvarez Jr.","ATL","3B","","","","960","753","856.5"
"790","Spencer Jones","NYY","CF","","","","1016","754","885.0"
"791","Brusdar Graterol","LAD","RP","","","","824","805","814.5"
"792","Michael Grove","TB","RP","","","","804","826","815.0"
"793","Derek Hill","CWS","LF,CF,RF","","","","1120","756","938.0"
"794","Matt Thaiss","BOS","C","","","","756","885","820.5"
"795","Yuki Matsui","SD","RP","","","","1104","757","930.5"
"796","Javier Baez","DET","2B,3B,SS,CF","","","","1223","758","990.5"
"797","Caleb Kilian","SF","SP,RP","","","","922","759","840.5"
"798","Justin Wrobleski","LAD","SP,RP","","","","989","760","874.5"
"799","Erik Swanson","","RP","","","","1018","761","889.5"
"800","Eric Haase","SF","C","","","","1150","762","956.0"
"801","Kevin Alcantara","CHC","CF,RF","","","","1169","765","967.0"
"802","Austin Martin","MIN","2B,LF,CF,RF","","","","891","766","828.5"
"803","Austin Barnes","","C","","","","914","768","841.0"
"804","Noah Cameron","KC","SP","","","","1280","769","1,024.5"
"805","Logan Allen","CLE","SP","","","","995","770","882.5"
"806","Randy Vasquez","SD","SP","","","","1162","771","966.5"
"807","Andrew Walters","CLE","RP","","","","774","872","823.0"
"808","Robert Stephenson","LAA","RP","","","","1116","772","944.0"
"809","Tyler Freeman","COL","2B,RF,DH","","","","1043","773","908.0"
"810","Alek Manoah","LAA","SP","","","","834","814","824.0"
"811","Will Vest","DET","RP","","","","1187","774","980.5"
"812","Stone Garrett","","LF,RF,DH","","","","1055","775","915.0"
"813","Dylan Carlson","PHI","LF,CF,RF","","","","1024","777","900.5"
"814","Erik Miller","SF","RP","","","","778","904","841.0"
"815","Michel Otanez","TEX","RP","","","","1052","779","915.5"
"816","Vidal Brujan","NYM","3B,SS,OF","","","","1181","780","980.5"
"817","Angel Martinez","CLE","2B,LF,CF,RF","","","","991","781","886.0"
"818","Andres Chaparro","WSH","1B","","","","938","782","860.0"
