"Rank","Player","Team","Positions","NFBC","CBS","RTS","ESPN","Yahoo","FT","AVG"
"378","Michael Busch","CHC","1B","351","322","440","397","272","370","376.0"
"379","Carlos Santana","ARI","1B","414","","385","336","373","373","376.2"
"380","Shea Langeliers","ATH","C,DH","246","329","378","401","406","369","376.6"
"381","Leody Taveras","BAL","CF,RF","278","320","433","405","447","263","376.6"
"382","Joc Pederson","TEX","DH","427","376","473","344","317","431","379.0"
"383","Nolan Schanuel","LAA","1B","399","348","443","","366","347","380.6"
"384","Patrick Sandoval","BOS","SP","420","328","408","408","","342","381.2"
"385","Davis Schneider","TOR","2B,LF","415","","439","386","265","402","381.4"
"386","Matt Brash","SEA","RP","356","","448","338","401","365","381.6"
"387","Casey Mize","DET","SP","406","324","334","369","388","421","383.6"
"388","Hunter Renfroe","","RF","374","","452","304","427","362","383.8"
"389","JP Sears","SD","SP","363","374","399","364","429","298","385.8"
"390","Jose Caballero","NYY","2B,3B,SS,LF,RF","388","372","444","","282","470","391.2"
"391","Johan Rojas","PHI","CF","401","","411","354","433","363","392.4"
"392","Brice Turang","MIL","2B","324","","199","","215","407","286.3"
"393","Graham Ashcraft","CIN","RP","394","","414","486","376","314","396.8"
"394","Jordan Wicks","CHC","SP,RP","439","365","419","385","","419","405.4"
"395","Harrison Bader","SF","LF,CF,RF","375","373","422","394","303","466","406.0"
"396","Matt Strahm","KC","RP","484","","477","260","329","484","406.8"
"397","Lucas Giolito","SD","SP","332","","233","431","226","925","429.4"
"398","Josiah Gray","WSH","SP","353","","389","244","","262","312.0"
"399","Jasson Dominguez","NYY","LF,CF,DH","446","","461","345","434","389","415.0"
"400","Edward Cabrera","CHC","SP","303","","323","","419","283","332.0"
"401","Jake Rogers","DET","C","322","325","287","","","401","333.8"
"402","Brendan Rodgers","BOS","2B","352","362","335","","","334","345.8"
"403","James McArthur","KC","RP","344","","379","","297","399","354.8"
"404","Pete Crow-Armstrong","CHC","CF","397","","374","","353","308","358.0"
"405","Alek Manoah","LAA","SP","387","","393","","364","289","358.3"
"406","Amed Rosario","NYY","2B,3B","339","","427","","360","317","360.8"
"407","Bryce Elder","ATL","SP","402","","","362","413","273","362.5"
"408","Jameson Taillon","CHC","SP","341","","469","","393","278","370.3"
"409","Adam Duvall","","LF,CF,RF","419","306","","352","","404","370.3"
"410","Alek Thomas","LAD","CF","345","","349","441","","359","373.5"
"411","Masyn Winn","STL","SS","367","","460","","327","343","374.3"
"412","Jordan Lawlar","ARI","3B,LF","358","","425","","451","264","374.5"
"413","Martin Perez","ATL","SP","540","","467","416","381","517","464.2"
"414","Yoan Moncada","LAA","3B","372","364","438","","","331","376.3"
"415","Cavan Biggio","HOU","1B,2B,RF","449","","","347","260","460","379.0"
"416","Gary Sanchez","MIL","C,1B,DH","379","","","400","291","448","379.5"
"417","Orion Kerkering","PHI","RP","416","","368","","290","455","382.3"
"418","Oswaldo Cabrera","NYY","3B","750","","261","418","250","678","471.4"
"419","Brenton Doyle","COL","CF","398","","465","","252","430","386.3"
"420","Garrett Mitchell","MIL","CF,RF","366","","397","","398","393","388.5"
"421","Max Meyer","MIA","SP","389","","364","","402","408","390.8"
"422","Zach McKinstry","DET","2B,3B,SS,LF,RF","424","","","381","324","439","392.0"
"423","Luke Raley","SEA","1B,LF,CF,RF","333","","432","","452","378","398.8"
"424","J.P. France","HOU","SP,RP","452","284","","494","","383","403.3"
"425","Jon Berti","","2B,3B","441","","358","","395","432","406.5"
"426","Mauricio Dubon","ATL","2B,3B,SS,LF,CF","468","","","371","322","469","407.5"
"427","Geraldo Perdomo","ARI","SS","422","","","481","342","390","408.8"
"428","Dylan Crews","WSH","CF,RF","473","","296","359","","510","409.5"
"429","Brusdar Graterol","LAD","RP","440","","455","","354","400","412.3"
"430","Wade Miley","","SP","471","","421","","343","426","415.3"
"431","Justin Lawrence","PIT","RP","393","","387","","428","453","415.3"
"432","Yan Gomes","","C","360","","454","428","","446","422.0"
"433","Anthony Rendon","LAA","3B","434","","434","402","","429","424.8"
"434","Mickey Moniak","COL","LF,CF,RF,DH","409","","400","488","","405","425.5"
"435","Nick Martinez","TB","SP,RP","444","","","480","352","451","431.8"
"436","Enrique Hernandez","LAD","1B,2B,3B,LF","518","","","341","310","562","432.8"
"437","Harold Ramirez","","LF,RF,DH","547","371","","","332","506","439.0"
"438","Jorge Mateo","ATL","2B,SS,CF","498","345","","414","","502","439.8"
"439","Kirby Yates","LAA","RP","552","","450","","172","608","445.5"
"440","Andrew McCutchen","TEX","RF,DH","589","","","433","281","481","446.0"
"441","Joey Gallo","","1B,LF,CF,RF","502","","413","360","","519","448.5"
"442","Michael Soroka","ARI","SP,RP","472","","365","475","","482","448.5"
"443","Robbie Ray","SF","SP","512","","252","","445","590","449.8"
"444","Daniel Hudson","","RP","638","337","367","458","","861","532.2"
"445","Chris Martin","TEX","RP","486","","457","","330","538","452.8"
"446","Jeff Hoffman","TOR","RP","466","","","460","336","575","459.3"
"447","Erik Swanson","","RP","515","","476","339","","515","461.3"
"448","Trevor Rogers","BAL","SP","323","","392","","","328","347.7"
"449","Tommy Pham","BAL","LF,CF,RF","335","","331","","","395","353.7"
"450","Chase Silseth","LAA","RP","334","","412","","","319","355.0"
"451","Luis Gil","NYY","SP","579","","383","","198","736","474.0"
"452","Kyle Manzardo","CLE","1B,DH","376","","350","","","396","374.0"
"453","Ryan O'Hearn","PIT","1B,LF,RF,DH","395","","","","298","434","375.7"
"454","Andrew Nardi","MIA","RP","506","","472","","421","559","489.5"
"455","Jason Heyward","","LF,RF","522","","447","403","","592","491.0"
"456","Connor Wong","BOS","C","342","","","375","","437","384.7"
"457","Ronel Blanco","HOU","SP","698","","262","","196","","385.3"
"458","Ricky Tiedemann","TOR","SP","384","","424","","","349","385.7"
"459","LaMonte Wade Jr.","CWS","1B,RF","392","","","368","","397","385.7"
"460","Trevor Megill","MIL","RP","543","","430","","305","703","495.3"
"461","Kyle Hendricks","","SP,RP","421","","","373","","372","388.7"
"462","Cody Bradford","TEX","SP","656","315","","","249","766","496.5"
"463","Julio Urias","","SP","647","","369","417","","598","507.8"
"464","Matt Manning","","SP","405","","403","","","409","405.7"
"465","Javier Assad","CHC","SP,RP","490","","","","318","427","411.7"
"466","Joe Boyle","TB","SP,RP","390","","458","","","387","411.7"
"467","James Wood","WSH","LF,RF,DH","454","","259","","","526","413.0"
"468","Ryan Noda","BAL","1B","438","","451","","","353","414.0"
"469","Steven Matz","TB","SP,RP","386","","475","","","385","415.3"
"470","Jake McCarthy","COL","LF,CF,RF","455","","359","","","438","417.3"
"471","Seranthony Dominguez","CWS","RP","624","","","442","339","689","523.5"
"472","Elehuris Montero","","1B,3B","451","","384","","","442","425.7"
"473","Wilyer Abreu","BOS","LF,CF,RF","404","","464","","","414","427.3"
"474","Yimi Garcia","TOR","RP","628","","343","","344","787","525.5"
"475","Trevor Bauer","","SP","480","","354","","","465","433.0"
"476","Jo Adell","LAA","LF,CF,RF","541","","","","270","521","444.0"
"477","Tylor Megill","NYM","SP","430","","445","","","459","444.7"
"478","Rowdy Tellez","ATL","1B","461","","","419","","457","445.7"
"479","Freddy Fermin","SD","C","396","","","474","","468","446.0"
"480","Tyler Rogers","TOR","RP","707","","478","328","","645","539.5"
"481","Aaron Ashby","MIL","RP","447","","474","","","436","452.3"
"482","Alex Cobb","","SP","448","","463","","","447","452.7"
"483","Jose Urquidy","PIT","RP","478","","441","","","440","453.0"
"484","Ramon Laureano","SD","LF,CF,RF","457","","471","","","445","457.7"
"485","Trent Grisham","NYY","CF","525","","","426","","425","458.7"
"486","Mike Yastrzemski","ATL","LF,CF,RF","510","","","406","","463","459.7"
"487","Jared Triolo","PIT","1B,2B,3B,SS","533","","","","350","497","460.0"
"488","Jeffrey Springs","ATH","SP","503","","398","","","491","464.0"
"489","Scott Barlow","ATH","RP","470","","446","","","495","470.3"
"490","Eric Haase","SF","C","668","","346","477","","750","560.3"
"491","Luis Urias","ARI","2B,3B","542","","","389","","496","475.7"
"492","Ryne Nelson","ARI","SP,RP","500","","420","","","509","476.3"
"493","Gregory Santos","SF","RP","495","","391","","","550","478.7"
"494","Patrick Wisdom","SEA","1B","556","","","","394","488","479.3"
"495","Chase DeLauter","CLE","CF,RF,DH","554","","243","","","648","481.7"
"496","Shelby Miller","CHC","RP","526","","271","","","649","482.0"
"497","Yariel Rodriguez","TOR","RP","539","","405","","","511","485.0"
"498","Blake Sabol","TB","C","481","","","435","","547","487.7"
"499","Connor Joe","SEA","LF,RF","596","","","","259","617","490.7"
"500","Christian Vazquez","HOU","C","504","","","399","","579","494.0"
"501","Colson Montgomery","CWS","3B,SS","507","","","499","","480","495.3"
"502","Jurickson Profar","ATL","LF","667","","","","157","684","502.7"
"503","Jhony Brito","SD","RP","514","","466","","","528","502.7"
"504","Isiah Kiner-Falefa","BOS","2B,3B,SS","508","","","387","","614","503.0"
"505","Kyle Farmer","ATL","1B,2B,3B,SS,DH","482","","","459","","568","503.0"
"506","Gio Urshela","","3B","519","","","407","","586","504.0"
"507","John Brebbia","","RP","494","","406","","","615","505.0"
"508","Kevin Kiermaier","","CF","549","","","395","","573","505.7"
"509","AJ Smith-Shawver","ATL","SP","408","","","","","337","372.5"
"510","Shane McClanahan","TB","SP","1013","","","409","347","","589.7"
"511","Jose Trevino","CIN","C","546","","","377","","655","526.0"
"512","Mike Clevinger","PIT","RP","442","","","","","351","396.5"
"513","Cole Irvin","LAD","SP,RP","527","","470","","","629","542.0"
"514","Sawyer Gipson-Long","DET","SP,RP","433","","","","","376","404.5"
"515","J.D. Davis","","1B,3B","445","","","","","368","406.5"
"516","Gabriel Arias","CLE","2B,SS","562","","","482","","594","546.0"
"517","Kyle Freeland","COL","SP","661","","","440","","541","547.3"
"518","Luis Garcia","WSH","1B,2B,DH","403","","","","","424","413.5"
"519","Adam Ottavino","","RP","604","","","","325","717","548.7"
"520","Michael Massey","KC","2B,LF","425","","","","","403","414.0"
"521","Rene Pinto","PHI","C","364","","","","","467","415.5"
"522","Kyle Higashioka","TEX","C,DH","599","","","412","","638","549.7"
"523","Tyler Black","MIL","1B,DH","410","","","","","423","416.5"
"524","Ben Joyce","LAA","RP","593","","","489","","572","551.3"
"525","Colin Poche","","RP","619","","","","400","641","553.3"
"526","Luisangel Acuna","CWS","2B,SS,CF","629","","","378","","670","559.0"
"527","Victor Caratini","MIN","C,1B,DH","555","","","468","","656","559.7"
"528","Dominic Canzone","SEA","LF,RF,DH","635","","","464","","581","560.0"
"529","Curtis Mead","WSH","1B,2B,3B","487","","","","","377","432.0"
"530","Matt Vierling","DET","LF,CF","450","","","","","420","435.0"
"531","Joey Votto","","1B","683","","","383","","624","563.3"
"532","Jesus Sanchez","TOR","LF,CF,RF,DH","423","","","","","449","436.0"
"533","Nick Senzel","LAD","3B,LF,CF,RF","431","","","","","441","436.0"
"534","Miguel Andujar","SD","3B,LF,DH","616","","377","","","699","564.0"
"535","Gregory Soto","PIT","RP","591","","437","","","682","570.0"
"536","Seth Brown","NYY","1B,LF,CF,RF","475","","","","","418","446.5"
"537","Ryan Weathers","NYY","SP","558","","442","","","711","570.3"
"538","Cade Horton","CHC","SP","467","","","","","428","447.5"
"539","Liover Peguero","PHI","1B,2B,SS","436","","","","","464","450.0"
"540","Heston Kjerstad","BAL","LF,RF","524","","","","","382","453.0"
"541","Eddie Rosario","","LF,CF,RF,DH","462","","","","","444","453.0"
"542","Emilio Pagan","CIN","RP","680","","302","","","743","575.0"
"543","Marco Luciano","NYY","2B,SS","485","","","","","422","453.5"
"544","Robert Gasser","MIL","SP","479","","","","","433","456.0"
"545","Andrew Kittredge","BAL","RP","674","","","","390","671","578.3"
"546","Hunter Goodman","COL","C,DH","476","","","","","450","463.0"
"547","Edward Olivares","","LF,RF","465","","","","","461","463.0"
"548","Miguel Vargas","CWS","1B,3B","489","","","","","443","466.0"
"549","Prelander Berroa","CWS","RP","608","","","","424","719","583.7"
"550","Keaton Winn","SF","SP,RP","459","","","","","479","469.0"
"551","Michael Lorenzen","COL","SP,RP","493","","","","","456","474.5"
"552","Coby Mayo","BAL","1B,3B","488","","","","","462","475.0"
"553","Josh Rojas","KC","2B,3B","474","","","","","476","475.0"
"554","Martin Maldonado","","C","645","","","396","","730","590.3"
"555","Ramon Urias","STL","2B,3B","715","","","420","","637","590.7"
"556","James McCann","ARI","C","689","","","413","","673","591.7"
"557","Abraham Toro","KC","1B,2B,3B","685","","","438","","652","591.7"
"558","Luis Matos","MIL","LF,CF,RF","499","","","","","458","478.5"
"559","Jackson Jobe","DET","SP,RP","492","","","","","471","481.5"
"560","Tyler Soderstrom","ATH","1B,LF","501","","","","","486","493.5"
"561","Drew Waters","KC","LF,CF,RF","496","","","","","493","494.5"
"562","Brandon Woodruff","MIL","SP","790","","200","","","926","638.7"
"563","Tyler Freeman","COL","2B,RF,DH","728","","","432","","660","606.7"
"564","Paul Blackburn","NYY","SP,RP","530","","","","","472","501.0"
"565","Taylor Walls","TB","SS","511","","","","","492","501.5"
"566","Ji Hwan Bae","NYM","CF,RF","505","","","","","500","502.5"
"567","Ivan Herrera","STL","C,DH","464","","","","","544","504.0"
"568","Mark Vientos","NYM","1B,3B,DH","531","","","","","483","507.0"
"569","Miguel Amaya","CHC","C,DH","483","","","","","531","507.0"
"570","Brayan Rocchio","CLE","2B,SS","521","","","","","494","507.5"
"571","Adrian Houser","SF","SP","523","","","","","501","512.0"
"572","Casey Schmitt","SF","1B,2B,3B,DH","711","","","467","","665","614.3"
"573","Joey Wiemer","WSH","LF,CF,RF","544","","","","","490","517.0"
"574","Aaron Hicks","","LF,CF,RF","643","","","498","","715","618.7"
"575","Christian Bethancourt","CHC","C","469","","","","","570","519.5"
"576","C.J. Cron","","1B","535","","","","","504","519.5"
"577","Jonathan Loaisiga","ARI","RP","671","","","434","","754","619.7"
"578","Owen Miller","CHC","1B,2B","663","","","463","","734","620.0"
"579","Tyler Anderson","","SP","565","","","","","477","521.0"
"580","Hyun Jin Ryu","","SP","569","","","","","474","521.5"
"581","Jonathan Aranda","TB","1B","528","","","","","520","524.0"
"582","Colin Rea","CHC","SP,RP","516","","","","","537","526.5"
"583","Nick Fortes","TB","C","491","","","","","564","527.5"
"584","Drew Thorpe","CWS","SP","509","","","","","553","531.0"
"585","Ross Stripling","","SP,RP","548","","","","","514","531.0"
"586","Ethan Salas","SD","C","838","","","423","","646","635.7"
"587","Julian Merryweather","MIN","RP","534","","","","","535","534.5"
"588","Hurston Waldrep","ATL","SP","537","","","","","534","535.5"
"589","Daniel Bard","","RP","778","","297","","","827","634.0"
"590","Joey Ortiz","MIL","SS","497","","","","","582","539.5"
"591","Matt Mervis","","1B","545","","","","","536","540.5"
"592","Matt Waldron","SD","SP","744","","","415","","745","634.7"
"593","Oswald Peraza","LAA","1B,2B,3B,SS","574","","","","","512","543.0"
"594","Hayden Wesneski","HOU","SP","557","","","","","540","548.5"
"595","Giovanny Gallegos","","RP","529","","","","","569","549.0"
"596","Anthony DeSclafani","","SP,RP","572","","","","","527","549.5"
"597","Stone Garrett","","LF,RF,DH","532","","","","","571","551.5"
"598","Domingo German","","SP,RP","597","","","","","508","552.5"
"599","Brooks Lee","MIN","2B,3B,SS","576","","","","","532","554.0"
"600","Brandon Belt","","1B,DH","570","","","","","539","554.5"
"601","Oscar Colas","","CF,RF","566","","","","","545","555.5"
"602","Patrick Corbin","TOR","SP","625","","","","","487","556.0"
"603","Joe Kelly","","RP","772","","","342","","859","657.7"
"604","Jorge Lopez","","RP","837","","","","299","","568.0"
"605","Alex Wood","","SP,RP","560","","","","","557","558.5"
"606","Jacob Misiorowski","MIL","SP","578","","","","","542","560.0"
"607","Brandon Williamson","CIN","SP","618","","","","","503","560.5"
"608","Dylan Carlson","PHI","LF,CF,RF","561","","","","","560","560.5"
"609","Tom Murphy","","C","517","","","","","607","562.0"
"610","Connor Phillips","CIN","RP","620","","","","","505","562.5"
"611","Will Warren","NYY","SP","550","","","","","576","563.0"
"612","Paul DeJong","DET","2B,3B,SS","564","","","","","563","563.5"
"613","Luis Medina","ATH","SP,RP","605","","","","","523","564.0"
"614","Jose Miranda","SD","1B,3B","595","","","","","533","564.0"
"615","Sean Bouchard","","LF,RF","536","","","","","596","566.0"
"616","Dylan Floro","","RP","829","","","","315","888","677.3"
"617","Yasmani Grandal","","C","538","","","","","595","566.5"
"618","Woo-Suk Go","DET","RP","553","","","","","588","570.5"
"619","Michael A. Taylor","","LF,CF,RF","559","","","","","583","571.0"
"620","Ben Rice","NYY","C,1B,DH","699","","","447","","866","670.7"
"621","Miguel Rojas","LAD","2B,3B,SS","805","","","450","","714","656.3"
"622","Sixto Sanchez","","SP,RP","724","","","462","","783","656.3"
"623","Spencer Jones","NYY","CF","774","","","421","","778","657.7"
"624","Tyler Kinley","ATL","RP","513","","","","","643","578.0"
"625","Liam Hendriks","CHC","RP","819","","340","","","","579.5"
"626","David Festa","MIN","SP","614","","","","","546","580.0"
"627","Ronny Mauricio","NYM","2B,3B,SS","632","","","","","529","580.5"
"628","Justyn-Henry Malloy","TB","LF,RF,DH","607","","","","","555","581.0"
"629","Adam Frazier","LAA","2B,LF,RF","594","","","","","574","584.0"
"630","Marco Gonzales","SD","SP","617","","","","","552","584.5"
"631","Tyrone Taylor","NYM","LF,CF,RF","585","","","","","584","584.5"
"632","Alec Burleson","STL","1B,LF,RF,DH","606","","","","","566","586.0"
"633","Randy Vasquez","SD","SP","573","","","","","600","586.5"
"634","Will Brennan","SF","LF,CF,RF","590","","","","","585","587.5"
"635","Michael Grove","TB","RP","623","","","","","554","588.5"
"636","Shintaro Fujinami","","SP,RP","816","","","430","","753","666.3"
"637","Matt Shaw","CHC","2B,3B,RF,DH","622","","","","","561","591.5"
"638","Darell Hernaiz","ATH","2B,3B,SS","580","","","","","604","592.0"
"639","Richie Palacios","TB","2B,LF","587","","","","","597","592.0"
"640","Zack Thompson","STL","RP","627","","","","","558","592.5"
"641","Tom Cosgrove","HOU","RP","1026","","","","368","","697.0"
"642","JJ Bleday","CIN","LF,CF,RF","588","","","","","599","593.5"
"643","Bobby Dalbec","","1B,3B","763","","","465","","779","669.0"
"644","Drew Smyly","","SP,RP","634","","","","","556","595.0"
"645","Kyle Isbel","KC","CF","567","","","","","623","595.0"
"646","Jakob Junis","TEX","RP","551","","","","","640","595.5"
"647","Daniel Vogelbach","","DH","1111","","","374","","","742.5"
"648","Mike Tauchman","NYM","LF,CF,RF","644","","","","","548","596.0"
"649","Jordan Diaz","","1B,2B,3B","581","","","","","611","596.0"
"650","Christian Scott","NYM","SP","575","","","","","618","596.5"
"651","Tyler Matzek","","RP","1101","","","382","","","741.5"
"652","Lucas Erceg","KC","RP","568","","","","","632","600.0"
"653","Myles Straw","TOR","LF,CF,RF","652","","","","","549","600.5"
"654","Randal Grichuk","CWS","LF,RF,DH","592","","","","","610","601.0"
"655","Nick Anderson","ATH","RP","571","","","","","642","606.5"
"656","Victor Robles","SEA","LF,CF,RF","582","","","","","631","606.5"
"657","Kyle Hurt","LAD","RP","610","","","","","605","607.5"
"658","Dustin May","STL","SP","641","","","","","578","609.5"
"659","Andruw Monasterio","BOS","1B,2B,3B,SS,DH","630","","","","","589","609.5"
"660","Lawrence Butler","ATH","CF,RF","598","","","","","622","610.0"
"661","Ryan Yarbrough","NYY","SP,RP","613","","","","","609","611.0"
"662","Xavier Edwards","MIA","2B,SS","602","","","","","621","611.5"
"663","Jonny DeLuca","TB","LF,CF,RF","621","","","","","606","613.5"
"664","Roansy Contreras","","SP,RP","653","","","","","577","615.0"
"665","Cal Quantrill","TEX","SP,RP","701","","","","","530","615.5"
"666","Lance McCullers Jr.","HOU","SP","688","","","","","543","615.5"
"667","Adalberto Mondesi","","SS","611","","","","","620","615.5"
"668","Brandon Crawford","","3B,SS","895","","","427","","810","710.7"
"669","Jake Irvin","WSH","SP","650","","","","","587","618.5"
"670","Orelvis Martinez","","2B,3B","636","","","","","602","619.0"
"671","Garrett Stubbs","PHI","C,DH","897","","","422","","","659.5"
"672","Justin Foscue","TEX","1B,2B","583","","","","","657","620.0"
"673","Drew Rasmussen","TB","SP","640","","","","","601","620.5"
"674","Garrett Cooper","","1B","609","","","","","633","621.0"
"675","Edmundo Sosa","PHI","2B,3B,SS","901","","","425","","907","744.3"
"676","Dany Jimenez","","RP","577","","","","","666","621.5"
"677","Josh Sborz","TEX","RP","584","","","","","659","621.5"
"678","Estevan Florial","","LF,CF,RF","600","","","","","644","622.0"
"679","Emerson Hancock","SEA","SP,RP","626","","","","","625","625.5"
"680","Austin Barnes","","C","872","","","437","","837","715.3"
"681","Jake Bauers","MIL","1B,LF,RF","603","","","","","654","628.5"
"682","Bowden Francis","TOR","SP","563","","","","","697","630.0"
"683","Austin Nola","","C","1086","","","443","","","764.5"
"684","Jiman Choi","","1B,DH","1125","","","444","","","784.5"
"685","Tony Kemp","","2B,LF","1005","","","445","","851","767.0"
"686","Mike Moustakas","","1B,3B","799","","","466","","821","695.3"
"687","David Peterson","NYM","SP,RP","676","","","","","591","633.5"
"688","Kolten Wong","","2B","961","","","451","","","706.0"
"689","Manuel Margot","","LF,CF,RF","642","","","","","628","635.0"
"690","Jake Cave","","1B,LF,CF,RF","1073","","","454","","","763.5"
"691","Jason Delay","BOS","C","943","","","455","","","699.0"
"692","Nicky Lopez","CHC","3B","612","","","","","661","636.5"
"693","Zack Greinke","","SP","979","","","456","","","717.5"
"694","Madison Bumgarner","","SP","","","","457","","989","723.0"
"695","Jake Meyers","HOU","CF","601","","","","","675","638.0"
"696","Matt Carpenter","","1B,DH","1044","","","461","","","752.5"
"697","Forrest Wall","","LF","810","","","471","","","640.5"
"698","Nick Madrigal","LAA","2B,3B","692","","","","","593","642.5"
"699","Yuli Gurriel","","1B,DH","1021","","","469","","","745.0"
"700","Cade Cavalli","WSH","SP","648","","","","","639","643.5"
"701","Sam Haggerty","TEX","LF,CF","1076","","","470","","","773.0"
"702","Kevin Smith","","3B,SS","1322","","","473","","","897.5"
"703","Jordan Lyles","","SP,RP","767","","","","","525","646.0"
"704","Ken Waldichuk","WSH","SP,RP","786","","","","","513","649.5"
"705","Ryan McKenna","","LF,CF,RF","1339","","","483","","","911.0"
"706","Jakob Marsee","MIA","LF,CF","651","","","","","651","651.0"
"707","DJ Stewart","PIT","LF,RF","673","","","","","630","651.5"
"708","Keston Hiura","LAD","1B,2B","813","","","491","","849","717.7"
"709","Travis Jankowski","","LF,CF,RF","831","","","487","","899","739.0"
"710","Max Stassi","","C","615","","","","","690","652.5"
"711","Lucas Sims","CWS","RP","654","","","","","653","653.5"
"712","Vladimir Gutierrez","","RP","1152","","","490","","938","860.0"
"713","Pierce Johnson","CIN","RP","637","","","","","672","654.5"
"714","Eduardo Escobar","","2B,3B","844","","","493","","854","730.3"
"715","Nick Pratto","TEX","1B","686","","","","","626","656.0"
"716","Josh Smith","TEX","1B,2B,3B,SS,LF,RF","846","","","496","","875","739.0"
"717","Akil Baddoo","MIL","LF","700","","","","","616","658.0"
"718","Brock Stewart","LAD","RP","586","","","","","731","658.5"
"719","Thomas Saggese","STL","2B,3B,SS,LF","646","","","","","676","661.0"
"720","Johan Oviedo","BOS","SP","776","","","","","551","663.5"
"721","Enmanuel Valdez","PIT","1B","657","","","","","674","665.5"
"722","Nick Loftin","KC","2B,3B,LF","665","","","","","668","666.5"
"723","Andy Ibanez","NYM","2B,3B","660","","","","","677","668.5"
"724","Jacob Young","WSH","CF","704","","","","","635","669.5"
"725","Connor Norby","MIA","1B,3B,DH","696","","","","","647","671.5"
"726","Matthew Liberatore","STL","SP","693","","","","","650","671.5"
"727","Vidal Brujan","NYM","3B,SS,OF","659","","","","","685","672.0"
"728","Dominic Fletcher","PIT","CF,RF","655","","","","","700","677.5"
"729","Ben Brown","CHC","SP,RP","695","","","","","662","678.5"
"730","Korey Lee","CWS","C","666","","","","","693","679.5"
"731","Tristan Beck","SF","RP","734","","","","","627","680.5"
"732","Joey Cantillo","CLE","SP,RP","681","","","","","683","682.0"
"733","Andrew Knizner","COL","C","649","","","","","716","682.5"
"734","Robby Snelling","MIA","SP","658","","","","","708","683.0"
"735","Mick Abel","MIN","SP","677","","","","","691","684.0"
"736","Jace Jung","DET","3B","664","","","","","707","685.5"
"737","Jose Soriano","LAA","SP","679","","","","","692","685.5"
"738","Sam Huff","BAL","C","662","","","","","710","686.0"
"739","Nick Nastrini","","SP,RP","703","","","","","669","686.0"
"740","Jose Butto","SF","SP,RP","738","","","","","636","687.0"
"741","Alex Faedo","","SP,RP","716","","","","","658","687.0"
"742","Nick Gordon","","2B,LF,CF","672","","","","","709","690.5"
"743","Naoyuki Uwasawa","","RP","802","","","","","580","691.0"
"744","Joe Jimenez","ATL","RP","678","","","","","704","691.0"
"745","Dairon Blanco","TEX","LF,CF,RF","697","","","","","687","692.0"
"746","Matt Thaiss","BOS","C","710","","","","","686","698.0"
"747","Joshua Palacios","","LF,CF,RF","670","","","","","727","698.5"
"748","Daniel Lynch","KC","RP","731","","","","","667","699.0"
"749","Jared Shuster","STL","RP","787","","","","","612","699.5"
"750","Gavin Sheets","SD","1B,LF,RF,DH","702","","","","","698","700.0"
"751","Jordan Leasure","CWS","RP","631","","","","","772","701.5"
"752","Taylor Rogers","MIN","RP","682","","","","","729","705.5"
"753","Chris Flexen","","RP","713","","","","","701","707.0"
"754","Ian Hamilton","ATL","RP","712","","","","","702","707.0"
"755","Mason Black","KC","SP,RP","675","","","","","740","707.5"
"756","Elvis Andrus","","2B,SS","706","","","","","712","709.0"
"757","Luis Garcia","NYY","SP","755","","","","","664","709.5"
"758","John McMillon","PHI","RP","690","","","","","733","711.5"
"759","Peter Lambert","HOU","SP,RP","1119","","","","","613","866.0"
"760","Everson Pereira","CWS","LF,CF,RF","736","","","","","695","715.5"
"761","Josh Winckowski","TOR","RP","709","","","","","725","717.0"
"762","Mark Leiter Jr.","ATH","RP","773","","","","","663","718.0"
"763","Kyle Teel","CWS","C","708","","","","","728","718.0"
"764","Trevor Williams","WSH","SP","868","","","","","619","743.5"
"765","Carson Kelly","CHC","C","669","","","","","768","718.5"
"766","Alec Marsh","KC","SP","758","","","","","681","719.5"
"767","Quinn Priester","MIL","SP,RP","762","","","","","680","721.0"
"768","Ty Madden","DET","RP","737","","","","","705","721.0"
"769","JoJo Romero","STL","RP","694","","","","","751","722.5"
"770","Chayce McDermott","LAD","SP,RP","691","","","","","758","724.5"
"771","Tyler Mahle","SF","SP","633","","","","","917","775.0"
"772","Canaan Smith-Njigba","","RF","1141","","","","","634","887.5"
"773","Joey Lucchesi","LAA","RP","759","","","","","694","726.5"
"774","Garrett Hampson","CIN","2B,LF,CF","684","","","","","775","729.5"
"775","Trevor May","","RP","723","","","","","737","730.0"
"776","Jake Eder","LAD","RP","718","","","","","747","732.5"
"777","Joe Ross","","RP","717","","","","","749","733.0"
"778","Chad Green","","RP","725","","","","","744","734.5"
"779","Huascar Ynoa","LAA","SP","747","","","","","723","735.0"
"780","Jack Leiter","TEX","SP","714","","","","","757","735.5"
"781","Cade Povich","BAL","SP","726","","","","","755","740.5"
"782","Dominic Smith","ATL","1B,DH","777","","","","","706","741.5"
"783","Ryan Bliss","SEA","2B","745","","","","","742","743.5"
"784","Tommy Kahnle","BOS","RP","739","","","","","752","745.5"
"785","Deyvison De Los Santos","MIA","1B,3B","732","","","","","763","747.5"
"786","Carter Kieboom","PHI","1B,2B,3B","864","","","","","679","771.5"
"787","Bailey Falter","KC","SP","780","","","","","718","749.0"
"788","Drew Gilbert","SF","LF,CF,RF","727","","","","","771","749.0"
"789","Will Vest","DET","RP","742","","","","","760","751.0"
"790","Graham Pauley","MIA","3B","687","","","","","870","778.5"
"791","John Schreiber","KC","RP","730","","","","","776","753.0"
